property_id,district,latitude,longitude,area_sqft,property_type,location_type,bhk_type,age_of_property,price_per_sqft,total_price,road_access,utilities_available,water_supply,electricity,ownership_type,transaction_type,legal_status,amenities,days_on_market,seller_type,demand_score,location_score,price_trend,roi_percentage,investment_potential,date_listed
PROP000025,Visakhapatnam,17.655953,83.182241,70049.46,Farm House,Urban,3 BHK,17,2555.49,182932371.18,No,Yes,No,Yes,Freehold,Buy,Clear,"Parking, Water Supply, Garden",52,NRI,33.14,75.0,Decreasing,-3.22,Low,2026-08-01
PROP000026,Indore,22.706351,75.803682,143969.47,Land Bank,Urban,NA,16,1741.63,263273621.04,No,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,36,Real Estate Agent,34.42,75.0,Increasing,12.68,Low,2026-08-17
PROP000027,Kolkata,22.585438,88.371633,1598.14,Commercial Space,Commercial,NA,21,8916.12,14306715.47,No,No,No,No,Freehold,Buy,Clear,WiFi,50,Individual,58.22,100.0,Increasing,3.59,Low,2026-08-03
PROP000028,Gurgaon,28.421618,77.127329,224362.71,Land Bank,Rural,NA,5,1753.53,425724441.34,Yes,Yes,Yes,Yes,Co-op,Buy,Clear,Basic,117,Builder,53.46,32.5,Decreasing,-3.81,Low,2026-05-28
PROP000029,Surat,21.21593,72.802469,73151.06,Land Bank,Urban,NA,0,2738.65,205979803.99,Yes,Yes,No,Yes,Co-op,Sell,Clear,Basic,18,NRI,31.56,93.75,Increasing,14.51,Low,2026-09-04
PROP000030,Salem,11.564615,78.260327,45235.08,Warehouse,Industrial Hub,NA,13,411.34,17943156.54,Yes,Yes,No,Yes,Co-op,Buy,Clear,Electricity,56,Real Estate Agent,45.23,40.0,Stable,3.19,Low,2026-07-28
PROP000031,Madurai,9.95938,78.244103,1389.49,Office Space,Commercial,NA,0,7402.72,11099032.35,Yes,No,Yes,Yes,Freehold,Buy,Clear,"Elevator, WiFi, Parking, AC",57,Real Estate Agent,67.7,80.0,Increasing,22.16,Medium,2026-07-27
PROP000032,Aurangabad,19.894794,75.371021,50345.78,Industrial Space,Industrial Hub,NA,0,940.33,48163725.53,No,Yes,Yes,Yes,Leasehold,Sell,Clear,Basic,68,Bank,77.47,40.0,Stable,6.95,Medium,2026-07-16
PROP000033,Tirunelveli,8.722533,77.673071,426154.67,Industrial Plot,Industrial Hub,NA,0,866.11,336295973.13,No,Yes,Yes,Yes,Freehold,Rent,Clear,"Water Supply, Electricity",71,Builder,69.46,50.0,Stable,10.53,Medium,2026-07-13
PROP000034,Vadodara,22.383858,73.141016,9913.27,Office Space,Commercial,NA,0,13082.98,130469220.06,No,No,Yes,Yes,Leasehold,Buy,Clear,"AC, Parking",96,Bank,79.0,80.0,Increasing,20.48,High,2026-06-18
PROP000035,Aurangabad,19.850928,75.436301,7159.76,Residential House,Urban,3 BHK,16,3299.66,25836179.89,Yes,No,No,Yes,Freehold,Sell,Clear,"Swimming Pool, Gym, Water Supply, Parking, Electricity",104,Real Estate Agent,97.99,75.0,Increasing,11.25,Medium,2026-06-10
PROP000036,Hyderabad,17.363239,78.517661,81843.34,Residential Plot,Urban,3 BHK,0,9507.82,779575542.52,Yes,No,Yes,Yes,Freehold,Buy,Clear,Road Access,14,Real Estate Agent,95.81,100.0,Increasing,22.61,High,2026-09-08
PROP000037,Hyderabad,17.499539,78.550481,28606.47,Farm House,Semi-Urban,4 BHK,9,4120.96,94335929.88,Yes,Yes,Yes,Yes,Leasehold,Buy,Disputed,Water Supply,51,Bank,42.53,81.25,Increasing,13.96,Low,2026-08-02
PROP000038,Hyderabad,17.408545,78.45036,828530.84,Agricultural Land,Rural,NA,7,450.65,274481349.37,Yes,No,Yes,Yes,Freehold,Buy,Disputed,Water Supply,109,Builder,34.54,32.5,Stable,-0.49,Low,2026-06-05
PROP000039,Jaipur,26.954249,75.812331,42988.94,Industrial Space,Industrial Hub,NA,7,1595.07,74202605.7,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,91,Individual,54.56,50.0,Increasing,11.17,Low,2026-06-23
PROP000040,Aurangabad,19.957558,75.420744,80837.4,Commercial Plot,Semi-Urban,NA,1,3340.24,201735916.48,No,No,Yes,No,Freehold,Buy,Disputed,Electricity,95,Individual,51.24,50.0,Increasing,15.86,Low,2026-06-19
PROP000041,Visakhapatnam,17.792214,83.129733,258886.45,Development Land,Semi-Urban,NA,0,3343.29,832631013.86,Yes,Yes,No,Yes,Freehold,Buy,Clear,Basic,28,NRI,47.96,50.0,Stable,8.63,Low,2026-08-25
PROP000042,Mumbai,19.160337,72.896218,86147.85,Mixed-Use Property,Urban,NA,0,20000.0,1407513381.72,Yes,Yes,Yes,Yes,Leasehold,Rent,Disputed,Basic,10,Bank,43.14,100.0,Increasing,15.75,Low,2026-09-12
PROP000043,Kolkata,22.431233,88.459983,177717.18,Commercial Plot,Semi-Urban,NA,2,5971.88,1108483886.19,No,No,Yes,Yes,Freehold,Buy,Clear,"Electricity, Road Access",96,NRI,77.62,62.5,Increasing,20.48,High,2026-06-18
PROP000044,Mangalore,12.889267,74.863489,171253.6,Industrial Plot,Industrial Hub,NA,2,1917.65,266194663.33,No,Yes,No,Yes,Leasehold,Buy,Mortgaged,"Water Supply, Electricity",250,Bank,53.55,40.0,Decreasing,2.78,Low,2026-01-15
PROP000045,Visakhapatnam,17.696956,83.202492,54621.79,Industrial Space,Industrial Hub,NA,6,1023.91,57550340.63,Yes,Yes,No,Yes,Freehold,Rent,Clear,Basic,65,NRI,58.43,40.0,Increasing,12.0,Low,2026-07-19
PROP000046,Gurgaon,28.465948,77.041284,4458.55,Office Space,Commercial,NA,0,20000.0,93311838.73,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"AC, Parking, Elevator, WiFi",60,Individual,55.61,100.0,Stable,7.54,Low,2026-07-24
PROP000047,Surat,21.157739,72.806702,36494.34,Residential House,Semi-Urban,2 BHK,23,3452.12,132366050.67,Yes,Yes,Yes,Yes,Leasehold,Lease,Clear,Park,26,Real Estate Agent,76.29,62.5,Stable,0.15,Low,2026-08-27
PROP000048,Tirupur,11.04928,77.36382,12316.0,Agricultural Land,Rural,NA,5,165.58,1486947.94,Yes,No,Yes,No,Freehold,Sell,Disputed,Water Supply,158,Individual,31.66,20.0,Stable,5.93,Low,2026-04-17
PROP000049,Kolkata,22.4749,88.397885,349655.85,Land Bank,Urban,NA,9,3028.01,1164500655.38,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,54,Individual,47.12,93.75,Increasing,13.31,Low,2026-07-30
PROP000050,Jaipur,26.928909,75.89505,11885.44,Commercial Space,Commercial,NA,0,9176.29,113345811.56,Yes,No,Yes,Yes,Freehold,Sell,Clear,Elevator,70,Individual,59.18,100.0,Increasing,22.67,Low,2026-07-14
PROP000051,Madurai,9.855642,78.176793,15865.88,Commercial Plot,Urban,NA,0,3799.22,54703467.67,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Electricity,226,Individual,54.47,75.0,Decreasing,4.72,Low,2026-02-08
PROP000052,Pune,18.316837,73.70715,11539.6,Mixed-Use Property,Urban,NA,3,11665.01,146723313.46,Yes,Yes,Yes,Yes,Co-op,Lease,Clear,Basic,13,Real Estate Agent,51.73,100.0,Stable,11.72,Low,2026-09-09
PROP000053,Salem,11.649193,78.136102,3695.26,Retail Space,Commercial,NA,0,4887.7,19071210.55,Yes,Yes,No,No,Freehold,Sell,Clear,Parking,71,Real Estate Agent,89.84,80.0,Stable,11.63,Medium,2026-07-13
PROP000054,Indore,22.722382,75.853697,89597.22,Industrial Space,Industrial Hub,NA,10,1268.46,108322555.66,Yes,No,No,No,Freehold,Rent,Clear,Basic,79,Individual,53.53,40.0,Increasing,13.02,Low,2026-07-05
PROP000055,Mangalore,12.808105,74.744037,89975.59,Farm House,Rural,2 BHK,29,559.85,54176635.88,Yes,No,No,Yes,Leasehold,Buy,Clear,Parking,147,Real Estate Agent,46.32,20.0,Decreasing,-12.97,Low,2026-04-28
PROP000056,Chennai,13.152655,80.388395,3895.48,Industrial Space,Industrial Hub,NA,9,2182.79,8041523.85,No,Yes,No,No,Leasehold,Buy,Clear,Basic,55,Bank,51.73,50.0,Stable,0.88,Low,2026-07-29
PROP000057,Mumbai,19.190202,72.907997,27432.85,Commercial Plot,Urban,NA,0,20000.0,585978927.12,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Parking,95,Bank,71.76,100.0,Increasing,14.97,Medium,2026-06-19
PROP000058,Vellore,12.909148,79.274307,484750.15,Land Bank,Semi-Urban,NA,0,1120.18,491374670.06,Yes,Yes,Yes,No,Freehold,Buy,Clear,Basic,13,Builder,38.51,50.0,Stable,5.42,Low,2026-09-09
PROP000059,Madurai,10.047776,78.159675,77509.46,Residential Plot,Urban,3 BHK,0,3443.67,249219179.93,Yes,No,Yes,Yes,Freehold,Lease,Clear,"Water Supply, Road Access",102,Real Estate Agent,61.87,75.0,Increasing,19.33,Medium,2026-06-12
PROP000060,Kochi,10.01255,76.294306,19370.23,Retail Space,Commercial,NA,0,19512.0,299144952.88,No,No,No,Yes,Leasehold,Buy,Disputed,Signage,97,Bank,45.06,100.0,Increasing,19.57,Low,2026-06-17
PROP000061,Aurangabad,19.886061,75.340105,16921.72,Industrial Space,Industrial Hub,NA,20,493.41,8846307.74,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Basic,81,Builder,68.53,40.0,Decreasing,-4.64,Low,2026-07-03
PROP000062,Surat,21.196101,72.731479,6485.43,Residential House,Semi-Urban,4 BHK,9,4909.36,36607924.87,Yes,No,No,Yes,Freehold,Buy,Clear,"Security, Water Supply",128,NRI,90.2,62.5,Stable,2.87,Low,2026-05-17
PROP000063,Gurgaon,28.418955,77.123321,275235.2,Land Bank,Semi-Urban,NA,17,3488.17,1014486715.95,Yes,Yes,Yes,Yes,Leasehold,Buy,Clear,Basic,115,Builder,38.84,81.25,Stable,2.79,Low,2026-05-30
PROP000064,Kochi,9.931909,76.374357,10071.82,Office Space,Commercial,NA,12,11268.69,90054081.0,No,Yes,No,No,Co-op,Lease,Disputed,"Security, WiFi",63,NRI,93.86,100.0,Increasing,18.74,High,2026-07-21
PROP000065,Vellore,12.985099,79.169187,154706.16,Warehouse,Industrial Hub,NA,17,494.99,38891103.98,Yes,No,Yes,No,Leasehold,Sell,Under Litigation,"Water Supply, Security",21,Builder,45.67,40.0,Stable,3.38,Low,2026-09-01
PROP000066,Bangalore,12.93947,77.714747,31054.05,Mixed-Use Property,Urban,NA,22,9469.3,268719911.49,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,58,Individual,82.72,100.0,Increasing,10.32,Medium,2026-07-26
PROP000067,Bangalore,13.132042,77.539262,27517.65,Farm House,Urban,2 BHK,0,8494.84,235184387.91,Yes,Yes,Yes,Yes,Co-op,Buy,Clear,Parking,174,Real Estate Agent,42.76,100.0,Stable,10.89,Low,2026-04-01
PROP000068,Chandigarh,30.786827,76.720584,8247.84,Farm House,Rural,1 BHK,19,901.17,3820394.21,Yes,Yes,Yes,Yes,Freehold,Buy,Under Litigation,"Security, Water Supply, Parking",88,Real Estate Agent,47.35,25.0,Decreasing,-12.13,Low,2026-06-26
PROP000069,Surat,21.197769,72.900059,67242.05,Industrial Plot,Industrial Hub,NA,0,1757.49,128572615.55,No,Yes,Yes,No,Freehold,Rent,Clear,"Electricity, Water Supply",128,NRI,70.01,50.0,Stable,9.81,Medium,2026-05-17
PROP000070,Visakhapatnam,17.766175,83.272922,2973.77,Residential House,Rural,4 BHK,18,1248.89,4405762.72,No,No,Yes,Yes,Leasehold,Lease,Disputed,"Swimming Pool, Gym, Parking, Water Supply, Park",111,Individual,71.66,20.0,Stable,2.47,Low,2026-06-03
PROP000071,Mangalore,12.887789,74.763439,82694.25,Farm House,Urban,1 BHK,0,4483.53,363063292.03,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Security, Garden",27,Individual,33.11,75.0,Decreasing,2.04,Low,2026-08-26
PROP000072,Gurgaon,28.482847,77.162753,38639.37,Industrial Space,Industrial Hub,NA,4,3226.93,124105369.0,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,84,Real Estate Agent,41.78,65.0,Decreasing,1.19,Low,2026-06-30
PROP000073,Vadodara,22.306027,73.286887,62394.71,Development Land,Urban,NA,20,3265.54,195899517.55,Yes,Yes,Yes,Yes,Freehold,Lease,Clear,Basic,103,Builder,53.15,75.0,Stable,-2.66,Low,2026-06-11
PROP000074,Indore,22.718459,75.829528,29014.64,Residential House,Urban,4 BHK,21,4018.97,119598431.77,Yes,Yes,No,Yes,Leasehold,Buy,Clear,"Park, Water Supply",60,NRI,96.15,75.0,Increasing,11.68,Medium,2026-07-24
PROP000075,Chennai,13.06702,80.128661,79103.46,Industrial Plot,Industrial Hub,NA,4,2147.08,177887368.79,No,Yes,Yes,Yes,Freehold,Sell,Clear,"Electricity, Water Supply",97,Real Estate Agent,71.56,50.0,Increasing,16.84,Medium,2026-06-17
PROP000076,Delhi,28.577087,77.178316,69551.18,Industrial Space,Industrial Hub,NA,27,1668.91,118470738.42,Yes,No,Yes,Yes,Leasehold,Buy,Clear,Basic,132,NRI,52.4,65.0,Stable,-4.08,Low,2026-05-13
PROP000077,Mumbai,19.200881,72.813986,278435.96,Agricultural Land,Rural,NA,2,982.87,264050745.92,Yes,Yes,No,Yes,Co-op,Buy,Clear,Water Supply,53,Individual,19.6,32.5,Stable,7.63,Low,2026-07-31
PROP000078,Chandigarh,30.720093,76.753583,66289.92,Mixed-Use Property,Semi-Urban,NA,0,7318.28,531820798.74,Yes,Yes,Yes,No,Leasehold,Sell,Clear,Basic,39,NRI,63.88,62.5,Stable,6.15,Medium,2026-08-14
PROP000079,Chennai,13.145874,80.282546,157495.48,Warehouse,Industrial Hub,NA,13,1118.53,166557935.9,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Water Supply, Security",15,Individual,63.34,50.0,Stable,8.03,Medium,2026-09-07
PROP000080,Pune,18.456417,73.900461,7143.77,Residential House,Semi-Urban,3 BHK,9,7892.85,51761395.69,Yes,Yes,Yes,Yes,Freehold,Buy,Mortgaged,"Park, Electricity",25,Builder,100.0,81.25,Increasing,15.96,High,2026-08-28
PROP000081,Tirunelveli,8.782933,77.663506,80935.28,Commercial Plot,Urban,NA,7,3016.04,244401983.25,Yes,Yes,Yes,Yes,Leasehold,Buy,Clear,"Parking, Electricity",85,Bank,42.01,93.75,Increasing,15.61,Low,2026-06-29
PROP000082,Madurai,9.845607,78.11227,39972.93,Commercial Plot,Urban,NA,17,2461.8,102244023.37,No,Yes,Yes,Yes,Freehold,Sell,Clear,"Road Access, Electricity",15,Real Estate Agent,51.77,75.0,Increasing,5.71,Low,2026-09-07
PROP000083,Hyderabad,17.405408,78.485217,398125.88,Land Bank,Urban,NA,2,4250.36,1663116840.88,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,94,Builder,47.53,100.0,Increasing,17.94,Low,2026-06-20
PROP000084,Bangalore,12.99705,77.750291,97708.01,Farm House,Semi-Urban,5+ BHK,0,6308.51,589909128.1,Yes,Yes,Yes,Yes,Leasehold,Rent,Clear,"Parking, Security",166,Bank,35.03,81.25,Stable,14.15,Low,2026-04-09
PROP000085,Ahmedabad,23.030645,72.597608,69125.34,Industrial Space,Industrial Hub,NA,28,793.84,44698146.9,Yes,No,No,Yes,Freehold,Buy,Disputed,Basic,57,Real Estate Agent,59.22,50.0,Increasing,4.85,Low,2026-07-27
PROP000086,Bangalore,13.032982,77.514349,4697.2,Commercial Space,Commercial,NA,12,20000.0,64897063.38,Yes,Yes,Yes,Yes,Leasehold,Buy,Disputed,"Security, Parking, WiFi",14,Bank,74.38,100.0,Stable,2.17,Low,2026-09-08
PROP000087,Jaipur,26.804189,75.724652,180285.66,Warehouse,Industrial Hub,NA,7,1163.23,174047939.43,Yes,Yes,No,No,Co-op,Buy,Mortgaged,"Water Supply, Electricity",89,Individual,48.65,50.0,Increasing,12.48,Low,2026-06-25
PROP000088,Mysore,12.362354,76.731296,1065.97,Retail Space,Commercial,NA,0,11696.19,11457874.52,Yes,No,Yes,Yes,Leasehold,Buy,Clear,"Parking, Security",73,Bank,74.06,80.0,Increasing,21.63,Medium,2026-07-11
PROP000089,Madurai,10.063781,78.151686,133598.1,Land Bank,Semi-Urban,NA,7,1009.72,136456776.28,Yes,Yes,Yes,No,Co-op,Buy,Clear,Basic,22,Individual,45.5,50.0,Increasing,17.17,Low,2026-08-31
PROP000090,Chandigarh,30.750585,76.78407,44274.56,Farm House,Semi-Urban,1 BHK,21,2762.57,126932061.52,No,No,No,Yes,Freehold,Rent,Clear,"Water Supply, Parking, Garden",43,Builder,43.2,62.5,Increasing,6.62,Low,2026-08-10
PROP000091,Lucknow,26.861599,80.937605,38150.73,Industrial Space,Industrial Hub,NA,3,844.99,33919812.03,Yes,No,Yes,No,Freehold,Sell,Clear,Basic,118,Individual,73.19,40.0,Decreasing,-1.38,Low,2026-05-27
PROP000092,Hyderabad,17.444414,78.577239,29288.93,Commercial Plot,Semi-Urban,NA,0,8002.68,212313688.5,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Parking,84,Bank,44.22,81.25,Increasing,18.53,Low,2026-06-30
PROP000093,Vadodara,22.326982,73.26501,32369.8,Residential House,Urban,5+ BHK,25,3634.6,127086666.57,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Gym, Electricity, Parking",170,Individual,76.75,75.0,Stable,1.66,Low,2026-04-05
PROP000094,Chandigarh,30.74099,76.78398,14851.73,Retail Space,Commercial,NA,4,13724.76,198220203.06,Yes,Yes,Yes,No,Freehold,Rent,Clear,Signage,33,NRI,55.15,100.0,Increasing,16.46,Low,2026-08-20
PROP000095,Aurangabad,19.960529,75.391637,708958.82,Agricultural Land,Rural,NA,29,86.04,60956094.7,Yes,No,No,Yes,Leasehold,Buy,Clear,Water Supply,241,Bank,26.5,20.0,Decreasing,-17.79,Low,2026-01-24
PROP000096,Jaipur,26.856437,75.778512,56571.24,Commercial Plot,Semi-Urban,NA,15,4707.0,263604151.55,No,Yes,Yes,Yes,Leasehold,Sell,Clear,Parking,9,Bank,45.63,62.5,Increasing,11.47,Low,2026-09-13
PROP000097,Surat,21.292679,72.86805,60230.28,Vacant Land,Semi-Urban,NA,13,2535.47,142300073.66,Yes,No,Yes,Yes,Freehold,Rent,Mortgaged,Basic,178,Real Estate Agent,30.66,62.5,Stable,1.83,Low,2026-03-28
PROP000098,Tirupur,11.170123,77.312245,49055.07,Residential House,Urban,4 BHK,8,3797.06,142426605.6,Yes,Yes,No,Yes,Co-op,Rent,Disputed,"Security, Parking",28,NRI,97.55,75.0,Increasing,10.52,Medium,2026-08-25
PROP000099,Visakhapatnam,17.640273,83.151724,274699.64,Industrial Plot,Industrial Hub,NA,19,1009.17,260855319.61,No,No,No,Yes,Freehold,Sell,Clear,"Water Supply, Electricity",140,Individual,68.73,40.0,Stable,-0.23,Low,2026-05-05
PROP000100,Gurgaon,28.374387,77.090339,7732.32,Retail Space,Commercial,NA,18,16594.3,120272937.61,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,"Parking, Signage",139,Individual,59.25,100.0,Stable,7.04,Low,2026-05-06
PROP000101,Mangalore,12.816885,74.80141,44393.06,Warehouse,Industrial Hub,NA,0,1516.35,58983597.76,Yes,Yes,No,Yes,Leasehold,Sell,Mortgaged,Electricity,18,Individual,56.93,40.0,Increasing,20.87,Low,2026-09-04
PROP000102,Madurai,9.838948,78.237372,106425.13,Commercial Plot,Semi-Urban,NA,29,1246.79,145254034.3,Yes,Yes,No,Yes,Leasehold,Buy,Clear,Electricity,140,Bank,78.95,50.0,Stable,-6.92,Low,2026-05-05
PROP000103,Vellore,12.917436,79.243815,30110.45,Commercial Plot,Urban,NA,25,2365.97,70321644.15,Yes,Yes,No,Yes,Freehold,Buy,Clear,"Road Access, Electricity",99,Real Estate Agent,70.63,75.0,Increasing,7.16,Medium,2026-06-15
PROP000104,Bangalore,13.151112,77.583783,176786.25,Land Bank,Rural,NA,0,1568.3,253327524.01,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Basic,124,Individual,51.49,32.5,Stable,8.95,Low,2026-05-21
PROP000105,Mumbai,19.134117,72.892072,193897.91,Industrial Plot,Industrial Hub,NA,0,5796.75,1191946038.52,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,Electricity,72,Individual,56.13,65.0,Stable,10.45,Low,2026-07-12
PROP000106,Vadodara,22.387275,73.122516,40472.93,Development Land,Urban,NA,0,4753.18,146219700.81,Yes,Yes,Yes,Yes,Freehold,Rent,Disputed,Basic,68,Individual,59.87,75.0,Increasing,22.64,Low,2026-07-16
PROP000107,Madurai,9.959395,78.26763,67231.48,Mixed-Use Property,Urban,NA,20,2673.02,164027463.62,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,Basic,74,NRI,43.06,75.0,Stable,-3.99,Low,2026-07-10
PROP000108,Tirunelveli,8.74346,77.754776,34740.75,Industrial Space,Industrial Hub,NA,0,531.17,20107230.23,Yes,No,No,Yes,Leasehold,Buy,Clear,Basic,114,Bank,64.44,50.0,Decreasing,2.65,Low,2026-05-31
PROP000109,Madurai,10.095152,78.153792,25925.0,Development Land,Urban,NA,11,2836.64,79531649.16,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Basic,65,Real Estate Agent,71.59,75.0,Stable,9.18,Medium,2026-07-19
